country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,0.26,0.234,0.22,0.234,0.229,0.246,0.219,0.21,0.202,0.196,0.229,0.193,0.249,0.241,0.261,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.119,0.114,0.109,0.127,0.132,,0.143,,,,0.152,0.165,,0.188,0.198,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,3,,2.45,2,,1.74,1.17,0.884,0.949,,1.08,,,0.977
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.21,1.88,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0751,0.0872,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,0.419,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.935,,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.61,,1.29,1.66,1.91,1.44,1.35,1.97,1.66,1.76,1.43,,1.31
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337,0.375,0.385,0.405,0.392,0.377,,,0.336,0.296,0.298,
Seychelles,,,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,0.391,0.184,0.0879,,0.707,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,0.252,0.252,0.231,0.249,0.21,,,,0.235,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363,,0.323,0.282,0.302,0.303,0.282,0.314,0.234,0.239,0.19,0.178,0.182,0.186,0.221,0.269,0.312,0.332,0.421,0.276,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,0.251,0.25,0.244,0.219,0.212,0.207,0.208,0.241,0.239,0.258,0.237,0.238,0.237,0.238,0.243,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.382,0.4,,0.468,0.48
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0648,0.0768,,,,,,,,,,,,,,,,0.148,0.15,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196,0.194,0.202,0.209,0.214,0.222,0.222,0.223,0.23,0.246,0.268,0.286,0.28,0.273,0.238,0.233,0.23,0.229,0.218,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219,0.27,0.211,0.237,0.268,0.294,0.305,0.266,0.316
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0584,,,
